work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2025,EN,FL,Data Scientist,666467.54,BRL,122964.49,Brazil,0,Brazil,S
2025,EN,FL,Cybersecurity Analyst,90263.85,GBP,114258.04,UK,0,UK,S
2025,MI,FL,DevOps Engineer,99953.37,USD,99953.37,USA,50,USA,L
2025,MI,FL,Cloud Architect,238584.47,CAD,176729.24,Canada,50,Canada,XL
2025,EX,FT,IT Project Manager,19974230.85,JPY,126981.76,Japan,0,Japan,M
2025,MI,FT,Cybersecurity Analyst,627706.46,BRL,115813.0,Brazil,100,Brazil,M
2025,SE,CT,Product Manager,706688.92,BRL,130385.41,Brazil,100,Brazil,S
2025,EX,FT,ML Engineer,153591.77,AUD,101047.22,Australia,100,Australia,XL
2025,MI,FT,Cloud Architect,133690.87,EUR,143753.62,Germany,0,Germany,XL
2025,EX,PT,DevOps Engineer,8453832.25,INR,101243.5,India,0,India,S
2025,SE,CT,IT Project Manager,88094.71,GBP,111512.29,UK,100,UK,XL
2025,EX,PT,Data Scientist,589141.7,BRL,108697.73,Brazil,0,Brazil,M
2025,EX,FL,Product Manager,128484.35,EUR,138155.22,Germany,50,Germany,S
2025,EX,FT,Business Intelligence Analyst,84680.03,GBP,107189.91,UK,100,UK,L
2025,EX,CT,Software Engineer,118621.53,USD,118621.53,USA,50,USA,M
2025,EX,FT,Data Engineer,84684.9,GBP,107196.07,UK,0,UK,L
2025,SE,FL,Backend Developer,86262.82,GBP,109193.44,UK,50,UK,L
2025,MI,PT,ML Engineer,591597.82,BRL,109150.89,Brazil,100,Brazil,XL
2025,EN,FT,Software Engineer,156584.41,SGD,115988.45,Singapore,50,Singapore,S
2025,EX,PT,Cloud Architect,226037.48,SGD,167435.17,Singapore,50,Singapore,L
2025,SE,FL,Frontend Developer,1828344.06,ZAR,101574.67,South Africa,100,South Africa,S
2025,MI,FT,Backend Developer,166831.26,AUD,109757.41,Australia,50,Australia,M
2025,MI,CT,QA Engineer,499157.72,BRL,92095.52,Brazil,100,Brazil,M
2025,EN,CT,Data Scientist,15245913.97,JPY,96922.53,Japan,50,Japan,XL
2025,EX,FT,Full Stack Developer,75834.31,GBP,95992.8,UK,50,UK,M
2025,EN,PT,Full Stack Developer,113426.13,USD,113426.13,USA,50,USA,S
2025,SE,FL,Backend Developer,105752.89,EUR,113712.79,Germany,50,Germany,XL
2025,MI,CT,Business Intelligence Analyst,18480379.49,JPY,117484.93,Japan,100,Japan,M
2025,SE,FL,Cybersecurity Analyst,111964.5,USD,111964.5,USA,0,USA,M
2025,EN,CT,Cybersecurity Analyst,93487.87,GBP,118339.08,UK,0,UK,XL
2025,SE,FT,Frontend Developer,155551.65,AUD,102336.61,Australia,100,Australia,S
2025,EN,CT,Backend Developer,9540196.47,INR,114253.85,India,50,India,M
2025,EX,PT,Business Intelligence Analyst,69238.04,GBP,87643.09,UK,100,UK,S
2025,SE,FT,Software Engineer,18075174.69,JPY,114908.93,Japan,100,Japan,XL
2025,SE,CT,Systems Administrator,81767.83,USD,81767.83,USA,100,USA,XL
2025,SE,CT,IT Project Manager,11916803.54,INR,142716.21,India,0,India,S
2025,MI,FT,Business Intelligence Analyst,117857.43,USD,117857.43,USA,100,USA,XL
2025,EN,PT,Frontend Developer,7070317.41,INR,84674.46,India,100,India,M
2025,MI,CT,Business Intelligence Analyst,144457.95,CAD,107005.89,Canada,50,Canada,XL
2025,SE,FT,Full Stack Developer,95411.64,EUR,102593.16,Germany,50,Germany,S
2025,EX,FT,DevOps Engineer,138722.98,SGD,102757.76,Singapore,100,Singapore,XL
2025,SE,PT,Software Engineer,132028.57,AUD,86860.9,Australia,100,Australia,M
2025,EN,FT,Product Manager,125232.72,EUR,134658.84,Germany,100,Germany,L
2025,EN,FT,Product Manager,112140.99,USD,112140.99,USA,0,USA,M
2025,EX,FL,Business Intelligence Analyst,147085.32,SGD,108952.09,Singapore,50,Singapore,S
2025,EN,CT,Business Intelligence Analyst,8975651.3,INR,107492.83,India,100,India,L
2025,EN,FT,QA Engineer,1815532.2,ZAR,100862.9,South Africa,100,South Africa,XL
2025,SE,CT,Business Intelligence Analyst,7427570.49,INR,88952.94,India,50,India,S
2025,SE,CT,Data Scientist,159059.27,CAD,117821.68,Canada,0,Canada,XL
2025,EN,FT,Business Intelligence Analyst,80258.97,GBP,101593.63,UK,0,UK,XL
2025,SE,FT,Full Stack Developer,1593969.66,ZAR,88553.87,South Africa,0,South Africa,M
2025,EN,CT,Business Intelligence Analyst,80501.18,EUR,86560.41,Germany,50,Germany,XL
2025,EN,CT,Product Manager,188612.91,SGD,139713.27,Singapore,100,Singapore,M
2025,EN,CT,Data Scientist,17685454.5,JPY,112431.37,Japan,50,Japan,XL
2025,EN,PT,DevOps Engineer,649433.89,BRL,119821.75,Brazil,50,Brazil,L
2025,SE,FT,QA Engineer,11721862.29,JPY,74519.15,Japan,100,Japan,S
2025,SE,CT,Cloud Architect,13892304.15,INR,166374.9,India,0,India,XL
2025,MI,FT,Cybersecurity Analyst,140637.28,CAD,104175.76,Canada,100,Canada,S
2025,EX,PT,DevOps Engineer,121155.17,USD,121155.17,USA,100,USA,S
2025,SE,CT,Full Stack Developer,116022.11,CAD,85942.3,Canada,0,Canada,S
2025,EN,CT,Full Stack Developer,686374.06,BRL,126637.28,Brazil,50,Brazil,XL
2025,EX,FL,DevOps Engineer,104721.76,GBP,132559.19,UK,0,UK,L
2025,EX,PT,IT Project Manager,157862.18,AUD,103856.7,Australia,0,Australia,M
2025,EX,CT,Business Intelligence Analyst,8319818.92,INR,99638.55,India,0,India,XL
2025,SE,CT,Cloud Architect,2146496.04,ZAR,119249.78,South Africa,100,South Africa,L
2025,MI,PT,ML Engineer,204294.1,SGD,151328.96,Singapore,50,Singapore,L
2025,EX,PT,Cybersecurity Analyst,173823.76,SGD,128758.34,Singapore,100,Singapore,XL
2025,EX,PT,Backend Developer,1745977.14,ZAR,96998.73,South Africa,100,South Africa,XL
2025,EN,PT,IT Project Manager,10775990.63,INR,129053.78,India,50,India,XL
2025,MI,CT,IT Project Manager,116601.51,USD,116601.51,USA,50,USA,XL
2025,EX,FL,ML Engineer,8760151.17,INR,104911.99,India,100,India,XL
2025,SE,FL,Full Stack Developer,82744.74,EUR,88972.84,Germany,50,Germany,S
2025,MI,PT,Data Scientist,105661.24,EUR,113614.24,Germany,100,Germany,XL
2025,EN,FT,QA Engineer,163618.77,AUD,107643.93,Australia,0,Australia,M
2025,MI,PT,IT Project Manager,127036.32,EUR,136598.19,Germany,0,Germany,S
2025,MI,FT,Data Scientist,151719.86,SGD,112385.08,Singapore,0,Singapore,S
2025,SE,FT,Frontend Developer,19208500.74,JPY,122113.8,Japan,0,Japan,S
2025,EN,CT,Systems Administrator,84272.55,EUR,90615.65,Germany,0,Germany,XL
2025,EX,FT,AI Researcher,154477.72,CAD,114427.94,Canada,50,Canada,S
2025,EN,FL,Systems Administrator,74671.49,EUR,80291.93,Germany,100,Germany,M
2025,EX,PT,Data Scientist,511950.33,BRL,94455.78,Brazil,100,Brazil,XL
2025,SE,CT,IT Project Manager,128617.65,USD,128617.65,USA,100,USA,XL
2025,MI,FL,QA Engineer,65564.19,EUR,70499.13,Germany,100,Germany,XL
2025,EN,FT,IT Project Manager,19302561.42,JPY,122711.77,Japan,0,Japan,L
2025,MI,PT,Backend Developer,16159200.92,JPY,102728.55,Japan,0,Japan,L
2025,MI,FL,AI Researcher,106976.36,GBP,135413.11,UK,100,UK,L
2025,EX,CT,AI Researcher,10976998.51,INR,131461.06,India,100,India,L
2025,EN,FL,QA Engineer,84499.51,USD,84499.51,USA,100,USA,XL
2025,SE,PT,Cybersecurity Analyst,131162.34,CAD,97157.29,Canada,0,Canada,M
2025,MI,CT,Systems Administrator,117447.31,SGD,86998.01,Singapore,100,Singapore,XL
2025,EN,CT,Data Scientist,116030.22,USD,116030.22,USA,50,USA,M
2025,EX,CT,IT Project Manager,10803075.53,INR,129378.15,India,100,India,M
2025,EX,PT,Systems Administrator,64220.04,GBP,81291.19,UK,0,UK,S
2025,SE,FT,DevOps Engineer,17010535.26,JPY,108140.72,Japan,0,Japan,L
2025,EN,PT,Backend Developer,7359067.09,INR,88132.54,India,50,India,L
2025,EN,FT,Backend Developer,104188.07,GBP,131883.63,UK,0,UK,L
2025,MI,CT,AI Researcher,191013.19,SGD,141491.25,Singapore,100,Singapore,S
2025,MI,CT,QA Engineer,14629653.47,JPY,93004.79,Japan,100,Japan,S
2025,SE,FT,IT Project Manager,2287955.88,ZAR,127108.66,South Africa,100,South Africa,L
2025,EX,PT,Data Engineer,22294451.46,JPY,141732.05,Japan,50,Japan,M
2025,EX,FT,IT Project Manager,104071.61,GBP,131736.21,UK,50,UK,XL
2025,MI,PT,Systems Administrator,408159.06,BRL,75306.1,Brazil,50,Brazil,M
2025,EX,FL,Business Intelligence Analyst,147759.23,SGD,109451.28,Singapore,0,Singapore,XL
2025,EN,PT,Business Intelligence Analyst,121409.29,USD,121409.29,USA,0,USA,XL
2025,MI,FL,AI Researcher,144227.58,USD,144227.58,USA,100,USA,XL
2025,EX,CT,ML Engineer,9426418.54,INR,112891.24,India,100,India,XL
2025,MI,PT,Cloud Architect,178339.86,USD,178339.86,USA,0,USA,XL
2025,MI,FL,Full Stack Developer,7328327.4,INR,87764.4,India,0,India,S
2025,SE,PT,ML Engineer,106911.58,GBP,135331.11,UK,50,UK,XL
2025,EN,FT,Data Engineer,2591641.26,ZAR,143980.07,South Africa,100,South Africa,XL
2025,MI,FL,Cloud Architect,135610.24,USD,135610.24,USA,0,USA,S
2025,MI,CT,DevOps Engineer,94552.05,EUR,101668.87,Germany,50,Germany,L
2025,MI,PT,DevOps Engineer,1955751.84,ZAR,108652.88,South Africa,100,South Africa,L
2025,MI,FT,Full Stack Developer,135879.15,SGD,100651.22,Singapore,100,Singapore,XL
2025,MI,FL,Product Manager,11586773.12,INR,138763.75,India,100,India,XL
2025,EN,FL,Business Intelligence Analyst,159056.08,CAD,117819.32,Canada,0,Canada,S
2025,MI,PT,Data Engineer,94354.93,GBP,119436.62,UK,0,UK,L
2025,SE,FT,Software Engineer,124309.37,USD,124309.37,USA,0,USA,L
2025,MI,PT,Frontend Developer,96775.4,EUR,104059.57,Germany,100,Germany,S
2025,SE,FL,Cybersecurity Analyst,508466.57,BRL,93813.02,Brazil,0,Brazil,L
2025,SE,FT,DevOps Engineer,159518.59,SGD,118161.92,Singapore,0,Singapore,M
2025,EX,CT,IT Project Manager,132896.35,SGD,98441.74,Singapore,100,Singapore,XL
2025,EN,CT,Data Scientist,185662.06,AUD,122146.09,Australia,50,Australia,S
2025,EN,FL,Backend Developer,8084151.03,INR,96816.18,India,100,India,S
2025,SE,FL,Cloud Architect,10761967.64,INR,128885.84,India,0,India,XL
2025,EN,PT,Data Scientist,146485.21,USD,146485.21,USA,0,USA,M
2025,EN,FL,ML Engineer,108807.21,USD,108807.21,USA,0,USA,S
2025,EN,PT,ML Engineer,189368.4,CAD,140272.89,Canada,100,Canada,M
2025,SE,CT,Software Engineer,147200.94,CAD,109037.73,Canada,50,Canada,L
2025,MI,PT,Data Scientist,597670.99,BRL,110271.4,Brazil,100,Brazil,M
2025,EX,PT,IT Project Manager,1939121.46,ZAR,107728.97,South Africa,50,South Africa,XL
2025,MI,FL,AI Researcher,207583.47,SGD,153765.53,Singapore,50,Singapore,S
2025,SE,PT,IT Project Manager,96891.31,GBP,122647.23,UK,0,UK,S
2025,EN,FT,Data Engineer,2203135.92,ZAR,122396.44,South Africa,100,South Africa,M
2025,EX,FL,Business Intelligence Analyst,116699.51,USD,116699.51,USA,100,USA,L
2025,SE,PT,Data Engineer,736678.81,BRL,135918.6,Brazil,0,Brazil,S
2025,SE,FL,AI Researcher,192577.24,SGD,142649.81,Singapore,50,Singapore,L
2025,EX,PT,Data Scientist,11577721.72,INR,138655.35,India,50,India,M
2025,EN,CT,Frontend Developer,563046.29,BRL,103883.08,Brazil,50,Brazil,M
2025,MI,FT,Cloud Architect,240476.78,SGD,178130.95,Singapore,0,Singapore,M
2025,EN,PT,Data Engineer,145372.39,AUD,95639.73,Australia,0,Australia,XL
2025,EX,FT,QA Engineer,6412652.21,INR,76798.23,India,100,India,XL
2025,EX,FL,Frontend Developer,8927012.55,INR,106910.33,India,50,India,S
2025,EX,PT,QA Engineer,124961.12,CAD,92563.79,Canada,100,Canada,M
2025,EN,CT,Product Manager,199957.8,SGD,148116.89,Singapore,0,Singapore,XL
2025,MI,FL,Business Intelligence Analyst,99170.0,EUR,106634.41,Germany,50,Germany,M
2025,EN,FT,Systems Administrator,68621.07,GBP,86862.12,UK,0,UK,M
2025,SE,FT,DevOps Engineer,178926.97,AUD,117715.11,Australia,50,Australia,L
2025,SE,CT,Full Stack Developer,1674333.0,ZAR,93018.5,South Africa,50,South Africa,S
2025,EX,FL,DevOps Engineer,118677.97,USD,118677.97,USA,0,USA,M
2025,SE,FT,Backend Developer,698782.77,BRL,128926.71,Brazil,50,Brazil,S
2025,SE,CT,Backend Developer,144148.65,CAD,106776.78,Canada,100,Canada,S
2025,EX,FL,Cybersecurity Analyst,147635.1,SGD,109359.33,Singapore,50,Singapore,XL
2025,SE,CT,DevOps Engineer,649308.85,BRL,119798.68,Brazil,100,Brazil,XL
2025,MI,CT,IT Project Manager,181960.64,SGD,134785.66,Singapore,0,Singapore,XL
2025,MI,PT,Software Engineer,180000.05,CAD,133333.37,Canada,100,Canada,S
2025,SE,PT,ML Engineer,86556.46,GBP,109565.14,UK,100,UK,S
2025,SE,FL,QA Engineer,120581.34,AUD,79329.83,Australia,50,Australia,M
2025,EX,PT,Business Intelligence Analyst,92675.83,GBP,117311.18,UK,100,UK,XL
2025,EX,CT,Data Scientist,137925.77,CAD,102167.24,Canada,100,Canada,XL
2025,EN,FT,QA Engineer,125407.81,AUD,82505.14,Australia,100,Australia,M
2025,SE,PT,Systems Administrator,81044.42,EUR,87144.54,Germany,100,Germany,L
2025,EN,FL,Software Engineer,728654.94,BRL,134438.18,Brazil,100,Brazil,L
2025,MI,FT,Backend Developer,627400.39,BRL,115756.53,Brazil,100,Brazil,XL
2025,SE,FL,AI Researcher,9897908.8,INR,118537.83,India,100,India,M
2025,EN,PT,Cybersecurity Analyst,170010.05,AUD,111848.72,Australia,0,Australia,S
2025,EN,CT,Cloud Architect,232505.37,SGD,172226.2,Singapore,0,Singapore,XL
2025,EN,FL,QA Engineer,15982658.41,JPY,101606.22,Japan,0,Japan,M
2025,EX,FL,Software Engineer,16054678.21,JPY,102064.07,Japan,0,Japan,M
2025,MI,FL,Business Intelligence Analyst,155991.58,AUD,102626.04,Australia,50,Australia,L
2025,SE,FL,IT Project Manager,118518.58,EUR,127439.33,Germany,0,Germany,XL
2025,EN,FL,Frontend Developer,129175.86,CAD,95685.82,Canada,0,Canada,L
2025,MI,FT,Systems Administrator,109726.19,SGD,81278.66,Singapore,100,Singapore,S
2025,MI,FL,Systems Administrator,126169.95,CAD,93459.22,Canada,0,Canada,XL
2025,EX,FT,Cloud Architect,169804.63,USD,169804.63,USA,50,USA,XL
2025,EN,FL,Cloud Architect,188220.63,AUD,123829.36,Australia,50,Australia,S
2025,SE,FT,Data Engineer,160740.99,CAD,119067.4,Canada,50,Canada,XL
2025,SE,PT,Software Engineer,129685.13,USD,129685.13,USA,0,USA,M
2025,SE,CT,AI Researcher,9760934.57,INR,116897.42,India,100,India,L
2025,MI,FL,Data Scientist,84830.18,GBP,107379.98,UK,50,UK,M
2025,MI,CT,Software Engineer,8379188.26,INR,100349.56,India,50,India,XL
2025,MI,FT,QA Engineer,110631.38,CAD,81949.17,Canada,100,Canada,S
2025,SE,FL,Data Engineer,20989893.35,JPY,133438.61,Japan,50,Japan,L
2025,EN,CT,Software Engineer,9471126.95,INR,113426.67,India,100,India,L
2025,EX,FT,Product Manager,162759.17,SGD,120562.35,Singapore,0,Singapore,XL
2025,EX,FL,Data Scientist,21881940.08,JPY,139109.6,Japan,100,Japan,S
2025,MI,FT,AI Researcher,24027867.58,JPY,152751.86,Japan,50,Japan,L
2025,SE,FL,Frontend Developer,10113164.29,INR,121115.74,India,100,India,M
2025,EX,FL,Software Engineer,80309.68,GBP,101657.82,UK,100,UK,L
2025,EX,PT,Frontend Developer,87476.03,EUR,94060.25,Germany,50,Germany,L
2025,MI,FL,Cybersecurity Analyst,11497032.34,INR,137689.01,India,100,India,M
2025,EX,FL,Product Manager,12644905.16,INR,151435.99,India,50,India,M
2025,EN,FT,Software Engineer,2187594.0,ZAR,121533.0,South Africa,0,South Africa,L
2025,EN,CT,QA Engineer,1639062.0,ZAR,91059.0,South Africa,50,South Africa,L
2025,SE,FL,ML Engineer,231272.42,AUD,152152.91,Australia,100,Australia,M
2025,MI,PT,AI Researcher,236904.31,AUD,155858.1,Australia,0,Australia,M
2025,EX,FL,IT Project Manager,118654.62,USD,118654.62,USA,50,USA,M
2025,MI,CT,ML Engineer,175031.86,SGD,129653.23,Singapore,50,Singapore,M
2025,EX,CT,AI Researcher,167464.48,USD,167464.48,USA,50,USA,XL
2025,EX,CT,ML Engineer,196540.36,AUD,129302.87,Australia,100,Australia,XL
2025,EX,CT,Backend Developer,129122.53,SGD,95646.32,Singapore,0,Singapore,M
2025,EX,FT,IT Project Manager,209058.75,AUD,137538.65,Australia,50,Australia,XL
2025,MI,FL,Software Engineer,7233166.62,INR,86624.75,India,100,India,XL
2025,SE,FL,Systems Administrator,128748.56,SGD,95369.3,Singapore,0,Singapore,XL
2025,MI,FT,Cybersecurity Analyst,21380453.52,JPY,135921.51,Japan,100,Japan,L
2025,SE,FT,Software Engineer,1941511.86,ZAR,107861.77,South Africa,100,South Africa,M
2025,EX,FT,AI Researcher,204949.53,CAD,151814.47,Canada,100,Canada,XL
2025,EX,FT,Data Scientist,117807.61,GBP,149123.56,UK,50,UK,XL
2025,EN,FT,Frontend Developer,149826.83,SGD,110982.84,Singapore,50,Singapore,S
2025,EN,FT,IT Project Manager,97748.79,USD,97748.79,USA,0,USA,XL
2025,EX,FT,Data Engineer,17657311.96,JPY,112252.46,Japan,50,Japan,L
2025,EX,PT,Data Scientist,794409.4,BRL,146570.0,Brazil,100,Brazil,XL
2025,SE,FL,Data Scientist,105220.88,USD,105220.88,USA,50,USA,L
2025,EN,FL,AI Researcher,221247.86,SGD,163887.3,Singapore,100,Singapore,XL
2025,EX,FL,Full Stack Developer,149036.34,SGD,110397.29,Singapore,0,Singapore,M
2025,EX,FL,AI Researcher,108033.44,EUR,116164.99,Germany,0,Germany,S
2025,SE,CT,Backend Developer,139210.42,AUD,91585.8,Australia,100,Australia,L
2025,EX,FT,ML Engineer,12203606.83,INR,146150.98,India,50,India,L
2025,MI,CT,Software Engineer,155782.22,AUD,102488.3,Australia,0,Australia,L
2025,EN,CT,Data Engineer,581461.5,BRL,107280.72,Brazil,100,Brazil,XL
2025,EN,FT,Frontend Developer,9878194.46,INR,118301.73,India,0,India,XL
2025,SE,FL,Backend Developer,108088.57,EUR,116224.27,Germany,0,Germany,XL
2025,EX,FT,DevOps Engineer,148685.62,SGD,110137.5,Singapore,0,Singapore,L
2025,EN,FT,Cybersecurity Analyst,16633630.3,JPY,105744.63,Japan,50,Japan,S
2025,EN,FL,DevOps Engineer,86870.34,GBP,109962.46,UK,0,UK,M
2025,EN,FT,Cybersecurity Analyst,174265.75,AUD,114648.52,Australia,0,Australia,S
2025,EX,FT,IT Project Manager,1889959.68,ZAR,104997.76,South Africa,0,South Africa,XL
2025,MI,FT,Cloud Architect,210561.72,AUD,138527.45,Australia,100,Australia,L
2025,EX,CT,Cybersecurity Analyst,108089.27,EUR,116225.02,Germany,100,Germany,M
2025,MI,FT,DevOps Engineer,18308022.73,JPY,116389.21,Japan,0,Japan,M
2025,SE,FT,IT Project Manager,97097.35,EUR,104405.75,Germany,0,Germany,XL
2025,EX,FL,Cybersecurity Analyst,14631503.32,JPY,93016.55,Japan,50,Japan,L
2025,MI,FT,DevOps Engineer,200306.8,AUD,131780.79,Australia,100,Australia,M
2025,EX,FT,Full Stack Developer,9063005.67,INR,108538.99,India,50,India,XL
2025,EX,FT,Backend Developer,172572.43,SGD,127831.43,Singapore,0,Singapore,S
2025,SE,FT,Full Stack Developer,134591.0,SGD,99697.04,Singapore,0,Singapore,L
2025,MI,PT,Cloud Architect,729957.96,BRL,134678.59,Brazil,100,Brazil,S
2025,EN,PT,QA Engineer,67402.54,EUR,72475.85,Germany,0,Germany,L
2025,MI,FT,Software Engineer,190308.23,AUD,125202.78,Australia,50,Australia,XL
2025,MI,CT,Frontend Developer,2072445.3,ZAR,115135.85,South Africa,100,South Africa,M
2025,EN,PT,Cybersecurity Analyst,177056.04,SGD,131152.62,Singapore,0,Singapore,L
2025,MI,FT,IT Project Manager,186539.81,AUD,122723.56,Australia,0,Australia,M
2025,EN,FT,IT Project Manager,88950.66,EUR,95645.87,Germany,0,Germany,S
2025,MI,PT,Data Scientist,185158.54,AUD,121814.83,Australia,100,Australia,M
2025,MI,CT,Business Intelligence Analyst,1659649.86,ZAR,92202.77,South Africa,50,South Africa,S
2025,EN,FL,IT Project Manager,107408.07,EUR,115492.55,Germany,50,Germany,XL
2025,EX,FT,Data Scientist,115600.15,GBP,146329.3,UK,50,UK,M
2025,MI,FL,QA Engineer,1756174.32,ZAR,97565.24,South Africa,0,South Africa,S
2025,SE,FT,Cloud Architect,177090.77,USD,177090.77,USA,100,USA,L
2025,SE,FL,IT Project Manager,629553.6,BRL,116153.8,Brazil,0,Brazil,L
2025,MI,FT,Full Stack Developer,17026694.69,JPY,108243.45,Japan,0,Japan,L
2025,MI,PT,Frontend Developer,463128.0,BRL,85447.97,Brazil,100,Brazil,L
2025,MI,FL,Software Engineer,17699897.79,JPY,112523.19,Japan,100,Japan,M
2025,SE,FT,Systems Administrator,15297067.93,JPY,97247.73,Japan,50,Japan,M
2025,SE,FL,Business Intelligence Analyst,96163.2,GBP,121725.57,UK,0,UK,S
2025,SE,CT,Full Stack Developer,82102.28,EUR,88282.02,Germany,100,Germany,XL
2025,EX,CT,DevOps Engineer,2322423.18,ZAR,129023.51,South Africa,100,South Africa,L
2025,EN,FL,Frontend Developer,136612.64,AUD,89876.74,Australia,0,Australia,S
2025,EX,PT,DevOps Engineer,89185.9,GBP,112893.54,UK,100,UK,L
2025,EX,FT,Frontend Developer,578013.08,BRL,106644.48,Brazil,50,Brazil,L
2025,MI,CT,Backend Developer,129632.09,USD,129632.09,USA,100,USA,S
2025,EN,FL,QA Engineer,1428695.1,ZAR,79371.95,South Africa,100,South Africa,XL
2025,EX,FT,ML Engineer,165110.17,SGD,122303.83,Singapore,100,Singapore,L
2025,EN,FT,QA Engineer,56420.53,GBP,71418.39,UK,100,UK,XL
